LTERYear,expyr,plot,ring,ctrt,ntrt,sprich,cntrt,Achillea_millefolium,Elymus_repens,Amorpha_canescens,Andropogon_gerardi,Anemone_cylindrica,Asclepias_tuberosa,Bouteloua_gracilis,Bromus_inermis,Koeleria_micrathera,Lespedeza_capitata,Lupinus_perennis,Dalea_villosa,Poa_pratensis,Schizachyrium_scoparium,Solidago_rigida,Sorghastrum_nutans,light,biom_totag,proportion_wb,wp_predicted,nhood_by_wp
1998,1,13,1,Cenrich,Nenrich,16,"EC, EN",59.75,5,0,0,0,0,4,2,3,0.9,3.5,0,20.5,0.5,0,0,0.035,496.6,0.009676889,12.3663,0.768216847
1998,1,23,1,Cenrich,Namb,16,"EC, AN",20,3.5,0.15,0.02,0,0.55,11.475,19.5,0,4.5,20,0,12.5,3,0,0,0.206666667,419.2,0.004423334,13.4515,0.854923243
1998,1,30,1,Cenrich,Nenrich,16,"EC, EN",49.19,2,0.05,0,0,0.05,5,10.5,0.55,1.25,9,0,20.94,0.02,1,0,0.03,589.7,0.006298052,12.9089,0.813392311
1998,1,33,1,Cenrich,Namb,16,"EC, AN",42.945,9,0.3,0,0,1.2,11,7,3.5,2.25,14,0.01,7,0,0.1,0,0.098333333,246.1,0.018309466,13.4515,0.854923243
1998,1,43,1,Cenrich,Nenrich,16,"EC, EN",50,0.8,0.02,0.7,0,0.3,0,14.25,0,1.1,2.5,0,27.915,0,0.05,0,0.105,571.6,0.004523705,12.6376,0.791289485
1998,1,45,1,Cenrich,Namb,16,"EC, AN",52.56,0.75,0.05,0,0.02,0,0,5.5,0,1.25,18.5,0,17,0,0.25,0.5,0.115,627.5,0.007571714,12.6376,0.791289485
1998,1,51,1,Cenrich,Namb,16,"EC, AN",41.405,0.6,0.255,0,0,0.3,0.09,4,0.5,0.9,32.5,0,16,0,0.3,0,0.158333333,224,0.005836274,12.9089,0.813392311
1998,1,52,1,Cenrich,Nenrich,16,"EC, EN",58.055,1.25,0.11,0,0.02,0.1,0,6,1.5,0.5,16.5,0.01,13.845,0,0.09,0,0.101666667,699.9,0.002359045,12.9089,0.813392311
1998,1,64,2,Camb,Nenrich,16,"AC, EN",51.13,0.55,0.1,0,0.02,0,4.5,5.5,4,0.1,20,0,12,0.035,0.05,0,0.096666667,365.5,0.005747892,12.9089,0.813392311
1998,1,67,2,Camb,Namb,16,"AC, AN",23,0.1,0.06,0,0.05,0,15,10,1,2,20,0,27.665,0,0.3,0,0.131666667,226.5,0.011467414,12.9089,0.813392311
1998,1,69,2,Camb,Namb,16,"AC, AN",30.09,0.55,0.275,0.05,0,0,21,3.5,1,2.5,29,0,12.42,0.015,0.1,0.05,0.155,307.9,0.001125721,13.4515,0.854923243
1998,1,104,2,Camb,Namb,16,"AC, AN",31.5,4.5,0.08,0,0.02,0.01,2.5,11,0,0.385,26.185,0,13.285,0,0.05,0,0.21333333300000001,233,0.001157457,12.6376,0.791289485
1998,1,107,2,Camb,Namb,16,"AC, AN",35,2.75,0.25,0,0.05,0.275,1,9,1.25,1.25,11,0,28.575,0.25,0.25,0,0.153333333,246.6,0.011940059,13.1802,0.834585211
1998,1,108,2,Camb,Nenrich,16,"AC, EN",35,6,0,0,0.01,0.05,1,7.5,0,1.25,5.75,0,36.91,0,0,0,0.078333333,366.3,0.005572108,12.3663,0.768216847
1998,1,110,2,Camb,Nenrich,16,"AC, EN",31.935,1.5,0.05,0,0.02,0.02,1,7,2,1,8.75,0,43.235,0,0.03,0,0.071666667,512.31,0.010229808,13.4515,0.854923243
1998,1,118,2,Camb,Nenrich,16,"AC, EN",32.38,1.01,0.13,0,0,0.03,3,3,0,2,32.5,0,26.35,2.5,0.3,0,0.1,556.01,0.002171494,13.4515,0.854923243
1998,1,130,3,Cenrich,Nenrich,16,"EC, EN",15.5,0.02,0.1,0,0,0.075,0,9,0,0.9,25,0,47.605,0,1.1,0,0.053333333,561.3,0.006645371,12.6376,0.791289485
1998,1,147,3,Cenrich,Namb,16,"EC, AN",23.5,3,1,0,0,0,1.5,13.5,0.55,2.25,31.5,0,25.375,0,0.05,0.1,0.13,456.8,0.00703747,13.7228,0.874457108
1998,1,151,3,Cenrich,Nenrich,16,"EC, EN",12.45,1,0.05,0,0,0,0,20,0,1.5,15,0,50.415,0,0.1,0.02,0.07,541.2,0.006279608,12.095,0.744109136
1998,1,163,3,Cenrich,Namb,16,"EC, AN",20.5,6.5,0.8,0,0.415,0.225,0,16,2,0.625,26,0.05,21.255,0,0.25,0,0.181666667,214.6,0.015426966,13.7228,0.874457108
1998,1,173,3,Cenrich,Namb,16,"EC, AN",15,2.5,0.25,0.5,0.125,0.15,0,18.5,2,1.5,16.5,0.02,37.58,0.02,1.125,0,0.163333333,347,0.005445686,13.1802,0.834585211
1998,1,175,3,Cenrich,Nenrich,16,"EC, EN",16.5,2.5,0.4,3,0,0.1,2,7.7,1,1.25,18,0.2,46.5,2,0,0,0.086666667,528.2,0.014446512,13.7228,0.874457108
1998,1,179,3,Cenrich,Namb,16,"EC, AN",19,6,0.6,0.75,0.55,0.35,1,16.5,3,3,10.5,0,32.55,2,0.95,0,0.116666667,405.5,0.007544376,13.9941,0.893233577
1998,1,180,3,Cenrich,Nenrich,16,"EC, EN",24,5,0.55,2.25,0.01,0,5,10,3,1.25,14,0,36.345,0,1.1,0,0.041666667,525.7,0.006590292,13.1802,0.834585211
1998,1,184,4,Camb,Namb,16,"AC, AN",32.76,1.55,0.05,0,0.02,0,13.5,9.85,1,3.525,23.5,0,12.5,0.05,1.1,1,0.158333333,251,0.010418207,13.9941,0.893233577
1998,1,188,4,Camb,Namb,16,"AC, AN",13,1.25,0.8,0,0.115,0.15,5,2,18.25,2.75,19.725,0.02,31.75,0.02,0.275,0.16,0.22,275.6,0.016241299,14.5367,0.928683952
1998,1,201,4,Camb,Namb,16,"AC, AN",19.25,2.5,0.45,2,0.01,0,5.75,3.5,6.43,0.75,29.5,0.3,20.87,0.52,0.325,1,0.191666667,277.6,0.006193391,14.808,0.9454349
1998,1,205,4,Camb,Nenrich,16,"AC, EN",21.5,7.5,0.275,0,0,0.5,4,11.5,0,0.75,5,0,46.5,0,0.5,0,0.106666667,376,0.006421267,12.3663,0.768216847
1998,1,213,4,Camb,Nenrich,16,"AC, EN",12.25,17,0.15,0,0.02,0.05,1,11,0,0.75,5,0,53.48,0,0.05,0,0.061666667,524.8,0.00615472,12.3663,0.768216847
1998,1,222,4,Camb,Namb,16,"AC, AN",28,3.5,0.76,0,0.1,0.01,8,14.5,0.55,1.25,17.5,0,25.785,0,0,0,0.116666667,406.5,0.003627629,12.6376,0.791289485
1998,1,234,4,Camb,Nenrich,16,"AC, EN",27.5,4.5,0.1,0,0.05,0.05,10,15,1,0.5,12,0,31.225,2,0.35,0,0.051666667,471.39,0.002460044,13.1802,0.834585211
1998,1,236,4,Camb,Nenrich,16,"AC, EN",24.25,9,0.075,3,0.075,0.4,2,16,5,1.65,12,0,25.05,0,0,0,0.088333333,338.85,0.020268317,13.4515,0.854923243
1998,1,250,5,Cenrich,Namb,16,"EC, AN",32.14,4.5,0.03,0,0.02,0,11,12.5,3.49,1.5,21,0,9,1.75,0.3,0,0.088333333,277.89,0.015176886,13.4515,0.854923243
1998,1,253,5,Cenrich,Nenrich,16,"EC, EN",41,4.5,0.04,1,0.05,0,6.5,10.71,0.5,3,13,0,19.5,0.5,0.5,0,0.066666667,458.6,0.002908004,13.7228,0.874457108
1998,1,267,5,Cenrich,Nenrich,16,"EC, EN",28.49,2,0.035,3.5,0.05,0.1,4.5,8,4.5,1.5,17,0,34.65,1,0.4,0,0.083333333,586.4,0.005246038,14.2654,0.911295863
1998,1,270,5,Cenrich,Namb,16,"EC, AN",25.83,3.25,0.025,3,0.015,0.05,5,9.5,8,0.7,16.5,0,25.78,2,0.525,0,0.126666667,633,0.006170223,14.5367,0.928683952
1998,1,272,5,Cenrich,Namb,16,"EC, AN",32.5,4,0.075,2,0.01,0.03,15,4.455,0.5,1.25,25,0,12.945,2.5,0.5,0.5,0.156666667,239.92,0.016942902,14.2654,0.911295863
1998,1,275,5,Cenrich,Nenrich,16,"EC, EN",29,2.5,0.02,0,0,0,10,8.5,2,1.25,5,0,42.235,0,1,0,0.083333333,407.2,0.024460363,12.3663,0.768216847
1998,1,283,5,Cenrich,Namb,16,"EC, AN",30,4.5,0.09,0.2,0.055,0.2,5,7,3,1.5,17.5,0,29.705,0.75,0.55,0.2,0.223333333,260,0.027901108,14.5367,0.928683952
1998,1,301,5,Cenrich,Nenrich,16,"EC, EN",42.65,3,0.1,0.1,0.5,0,8.5,7.5,0.75,1.5,12.5,0,20.7,3,0,0.5,0.118333333,458.8,0.028336651,13.7228,0.874457108
1998,1,306,6,Camb,Namb,16,"AC, AN",18.5,7.5,0.2,0,0.1,0.05,7.5,9.5,0,2,20,0.2,34.175,0,0,0,0.055,532.6,0.017393029,13.1802,0.834585211
1998,1,307,6,Camb,Nenrich,16,"AC, EN",25,12.5,0,0,0,0,1,6,1.05,1.5,12,0,40.4,0.1,0,0,0.038333333,518.2,0.003255481,12.095,0.744109136
1998,1,311,6,Camb,Nenrich,16,"AC, EN",22,11,0.02,0,0,0,4.5,7.5,1,0.5,21,0,30.99,2,0,0,0.035,455.1,0.007913152,12.6376,0.791289485
1998,1,321,6,Camb,Nenrich,16,"AC, EN",18,5,0.03,1,0.05,0,3.5,4,2.5,1.5,15,0,47.91,3,0,0.5,0.023333333,484.8,0.010587005,13.4515,0.854923243
1998,1,344,6,Camb,Namb,16,"AC, AN",25,13.83,0.03,0,0.03,0.725,1.5,10,0,0.875,22.5,0.02,17.24,0,0.07,0,0.051666667,409.4,0.002995397,13.4515,0.854923243
1998,1,354,6,Camb,Nenrich,16,"AC, EN",29.615,3.25,0.045,1,0.03,0.06,2,7.5,2.5,0.85,14,0,36.735,0,0.4,0,0.085,287.01,0.007872791,13.4515,0.854923243
1998,1,355,6,Camb,Namb,16,"AC, AN",29.99,3,2,0,0.5,0.02,2.25,8,3,1.75,24,0,24.39,0,0.02,0,0.108333333,402.7,0.013304584,13.9941,0.893233577
1998,1,358,6,Camb,Namb,16,"AC, AN",36.165,6.5,0.1,0,0.1,0.12,11.5,8,1.25,2.75,10.605,0,15,0.5,0.45,0.4,0.143333333,279,0.00917138,14.2654,0.911295863
2008,11,13,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,38,0,0,0,20,0,0,26,0,12,0,0,0,0.211927294,667.3,4.54237e-4,10.4672,0.573219199
2008,11,23,1,Cenrich,Namb,16,"EC, AN",1.5,0,0,41,0,0,0,0,0,20,34,0,1.5,0,0,0,0.354143792,448.4,0.006023929,11.0098,0.635797199
2008,11,30,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,19,0,0,0,3.5,0,4.5,40,0,9,0,2,3,0.2375,366,0.001091703,10.7385,0.605298692
2008,11,33,1,Cenrich,Namb,16,"EC, AN",0,0,2,15,0,0,0,8,0,28,23,0,9,0,2,0,0.295,429.3,0.003007466,11.0098,0.635797199
2008,11,43,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,10,0,1,0,13,2,6,43,0,15,0,0,0,0.31,283.7,0.003293663,11.8237,0.718895101
2008,11,45,1,Cenrich,Namb,16,"EC, AN",0,0,0,15,0,0,0,5,0,17,22,0,21,0,2,0,0.34,397.21,0,10.7385,0.605298692
2008,11,51,1,Cenrich,Namb,16,"EC, AN",0,0,0,12,0,0,0,4,0,16,42,0,15,0,0,0,0.2475,354,0.001086389,10.4672,0.573219199
2008,11,52,1,Cenrich,Nenrich,16,"EC, EN",0,0,0,14,0,0,0,12,0,8,42,0,10,0,0,0,0.25,273.91,0,10.1959,0.539432517
2008,11,64,2,Camb,Nenrich,16,"AC, EN",0,0,0,16,0,0,0,13,0,7,37,0,11,0,0,0,0.21,519.6,4.76e-5,10.4672,0.573219199
2008,11,67,2,Camb,Namb,16,"AC, AN",0,0,0,7,0,0,0,6,0,24,36,0,16,0,0,0,0.2,421.8,3.70299e-4,10.4672,0.573219199
2008,11,69,2,Camb,Namb,16,"AC, AN",0,0,0,13,0,0,0,6,0,25,27,0,19,0,0,0,0.1775,309.96,0,10.7385,0.605298692
2008,11,104,2,Camb,Namb,16,"AC, AN",0,0,12,3,0,0,0,6,0.5,41.5,29,0,6,0,0,0,0.247065074,442.3,1.44677e-4,11.5524,0.692496797
2008,11,107,2,Camb,Namb,16,"AC, AN",0,0.5,14.5,6.5,0,1.5,0,4,2,10,25,0,14,0,0,0,0.320424372,356.8,0,11.5524,0.692496797
2008,11,108,2,Camb,Nenrich,16,"AC, EN",0,1,0,19,0,0,0,9,0,16,32,0,5,0,0,0,0.237093967,302.9,0.002432169,10.7385,0.605298692
2008,11,110,2,Camb,Nenrich,16,"AC, EN",0,0,0,0,0,0,0,39,0,7.5,18,0,15,2,0,0,0.248864109,473.7,0.00646417,10.1959,0.539432517
2008,11,118,2,Camb,Nenrich,16,"AC, EN",0,1,0,1,0,7,0,9,0,17,44,0,4,0,0,0,0.336869579,262.1,0.005813959,10.7385,0.605298692
2008,11,130,3,Cenrich,Nenrich,16,"EC, EN",0,0,0,31,0,2.5,0,5,0,21,13,0,14,0,2.3,0.2,0.2825,368.9,3.19e-5,11.5524,0.692496797
2008,11,147,3,Cenrich,Namb,16,"EC, AN",0,0,12,26,0,2,0,2,0,6,36,0,14,0,0,0,0.2225,659.51,3.94077e-4,11.2811,0.664828784
2008,11,151,3,Cenrich,Nenrich,16,"EC, EN",2,0,0,32,0,2,0,3,2,4,21,0,18,0,0,0,0.2675,461.4,0.001664434,11.5524,0.692496797
2008,11,163,3,Cenrich,Namb,16,"EC, AN",0,0,10,14,0,2,0,7,0,14,31,0,8,0,5,0,0.317307531,478.2,6.59853e-4,11.5524,0.692496797
2008,11,173,3,Cenrich,Namb,16,"EC, AN",0,0,0,31,0,0,0,0,0,4,49,0,8,0,2,0,0.313613816,409.3,0.001306622,10.7385,0.605298692
