kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO,Ginkgo biloba,Ginkgo biloba,woody,tree,broadleaved,1336,20.3,92.28989146,32.82584596,1083.9307,0.45,0.34935337549454387,0.3121683677198759,0.45
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO,Achillea aspleniifolia,Achillea millefolium,non-woody,herbaceous non-graminoid,broadleaved,2701.654997428569,16.970023595921866,71.61547533177604,1.1378405278611792,0.1,0.29662514887481706,0.29233242592383485,0.24939963214882216,0.253042759262029
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO,Amphicarpaea bracteata,NA,non-woody,climber,broadleaved,1459.35,30.41156639,26.5785543,0.8581600972544211,30.792,0.2515797289979278,0.26164353451345623,0.2348249597661765,0.243638750510695
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO,Apocynum androsaemifolium,Apocynum androsaemifolium,non-woody,herbaceous non-graminoid,broadleaved,7156.82,17.2556779,51.59986203,0.735820838,0.2289,0.35354809090609907,0.334554127,0.271176363,0.271176363
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO,Apocynum cannabinum,Apocynum cannabinum,non-woody,herbaceous non-graminoid,broadleaved,2598.472255548653,17.24,97.94319295,0.95,0.9519,0.2850523840448168,0.2819405691596584,0.24548909334986957,0.24982971041646707
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO,Artemisia ludoviciana,Artemisia ludoviciana,non-woody,herbaceous non-graminoid/shrub,broadleaved,262.21,18.90475139,61.36297928,0.48641546,0.1241,0.3779233264421943,0.311672567,0.259186425,0.259186425
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO,Asclepias syriaca,Asclepias syriaca,non-woody,herbaceous non-graminoid,broadleaved,6376.17,19.52016511,62.98234491,0.916433603,5.5249,0.23031286899851272,0.195250356,0.198181187,0.198181187
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO,Asclepias verticillata,Asclepias verticillata,non-woody,herbaceous non-graminoid,broadleaved,47.17,16.3,50.19566442,0.4808351,2.1443,0.23304549263755242,0.214193857,0.208107581,0.208107581
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO,Asparagus officinalis,Asparagus officinalis,non-woody,herbaceous non-graminoid,broadleaved,13.24,20.126338192514677,96.69904704,0.783071712,20.5923,0.29644622611198523,0.274954542,0.246849633,0.246849633
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO,Bromus inermis,Bromus inermis,non-woody,herbaceous graminoid,broadleaved,1111.67,20.28454624,53.63954545,0.876594278,2.8865,0.33518547643285734,0.339545667,0.304206553,0.304206553
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,tectorum,Bromus tectorum,Bromus tectorum,Bromus_tectorum,1,NO,Bromus tectorum,Bromus tectorum,non-woody,herbaceous graminoid,broadleaved,288.69,21.77303837,38.99342349,0.366621768,3.1465,0.307185,0.31270768041223784,0.28301138269887866,0.307185
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Calamagrostis,Calamagrostis,canadensis,Calamagrostis canadensis,Calamagrostis canadensis,Calamagrostis_canadensis,1,NO,Calamagrostis canadensis,Calamagrostis canadensis,non-woody,herbaceous graminoid,broadleaved,1088.96,12.88524932,66.72128739592496,0.863133825,0.0997,0.3436357344323531,0.3472160668965161,0.30483637922661805,0.3073532381586163
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Caltha,Caltha,palustris,Caltha palustris,Caltha palustris,Caltha_palustris,1,NO,Caltha palustris,Caltha palustris,non-woody,herbaceous non-graminoid,broadleaved,6216.07,34.58116402,36.2434535,0.248220033,1.0116,0.1999003905284416,0.128301373,0.16309992,0.16309992
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Campanulaceae,Campanulaceae,Campanula,Campanula,rotundifolia,Campanula rotundifolia,Campanula rotundifolia,Campanula_rotundifolia,1,NO,Campanula rotundifolia,Campanula rotundifolia,non-woody,herbaceous non-graminoid,broadleaved,62.67,19.69810933,44.40538487,0.227134281,0.0546,0.3883,0.34555628757328105,0.3019958196565805,0.3883
Plantae,Tracheophyta,A,Magnoliopsida,Celastrales,Celastraceae,Celastraceae,Celastrus,Celastrus,scandens,Celastrus scandens,Celastrus scandens,Celastrus_scandens,1,NO,Celastrus scandens,Celastrus scandens,woody,climber,broadleaved,1961.46,21.88488836,27.55441712,0.6,17.0975,0.33799280603099996,0.31251329072778206,0.2761171102240715,0.3243648940176973
Plantae,Tracheophyta,A,Magnoliopsida,Santalales,Comandraceae,Santalaceae,Comandra,Comandra,umbellata,Comandra umbellata,Comandra umbellata,Comandra_umbellata,1,NO,Comandra umbellata,Comandra umbellata,non-woody,herbaceous non-graminoid,broadleaved,96.62,16.98419965,75.09841374,0.282842712,89.12,0.3588682085208001,0.34126471852650603,0.3002446919218227,0.31827386427227544
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Convolvulaceae,Convolvulaceae,Convolvulus,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,Convolvulus_arvensis,1,NO,Convolvulus arvensis,Convolvulus arvensis,non-woody,climber,broadleaved,670.88,33.67357285,37.08453982,0.299399835,13.3764,0.192,0.1860170175005908,0.19012118855273893,0.192
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,canadensis,Erigeron canadensis,Erigeron canadensis,Erigeron_canadensis,1,NO,Erigeron canadensis,Conyza canadensis,non-woody,herbaceous non-graminoid,broadleaved,290.83,26.57768565,52.83445519,0.374494241,0.0508,0.23160564657846128,0.230916111,0.216870042,0.216870042
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,alternifolia,Cornus alternifolia,Cornus alternifolia,Cornus_alternifolia,1,NO,Cornus alternifolia,Cornus alternifolia,woody,shrub/tree,broadleaved,3376.08,16.66974776,64.73963828,8.012220905,50.9742,0.49144811419188356,0.3518063418712077,0.31271610646524745,0.4668435860026674
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,racemosa,Cornus racemosa,Cornus racemosa,Cornus_racemosa,1,NO,Cornus racemosa,Cornus racemosa,woody,shrub,broadleaved,982.62,16.98521303,54.02846591,2.981020651,31.6875,0.4749572433450002,0.3584897560733966,0.32037176643318066,0.46323783745099545
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,sericea,Cornus sericea,Cornus sericea,Cornus_sericea,1,NO,Cornus sericea,Cornus stolonifera,woody,shrub/tree,broadleaved,2345.51,17.55,45.50538139,2.663296645,25.7526,0.48,0.3476193580811705,0.3097075457603426,0.48
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Danthonia,Danthonia,spicata,Danthonia spicata,Danthonia spicata,Danthonia_spicata,1,NO,Danthonia spicata,Danthonia spicata,non-woody,herbaceous graminoid,broadleaved,730.6,8.2,117.892981,0.465906394,0.5522,0.4084942423516864,0.434333371,0.388378033,0.388378033
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,violaceus,Elymus violaceus,Elymus violaceus,Elymus_violaceus,1,NO,NA,NA,non-woody,herbaceous graminoid,broadleaved,906.1947861729227,16.345751757437924,57.07424745384558,0.850067192606744,2.2825586821781405,0.3437261686150478,0.32582342474709514,0.2896213159615052,0.29297776776635154
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Festuca,Festuca,rubra,Festuca rubra,Festuca rubra,Festuca_rubra,1,NO,Festuca rubra,Festuca rubra,non-woody,herbaceous graminoid,broadleaved,305.76,16.1784374,74.98776021,0.356894185,0.8264,0.275943557,0.3073285154535305,0.2675437822002093,0.275943557
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,aparine,Galium aparine,Galium aparine,Galium_aparine,1,NO,Galium aparine,Galium aparine,non-woody,climber,broadleaved,159.05,25.66632034,25.91241419,0.389570305,7.7522,0.18459862896295734,0.139310853,0.168868887,0.168868887
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,Gentiana,Gentiana,andrewsii,Gentiana andrewsii,Gentiana andrewsii,Gentiana_andrewsii,1,NO,Gentiana andrewsii,Gentiana andrewsii,non-woody,herbaceous non-graminoid,broadleaved,1536.91,19.113243024036244,58.13947113,0.637798506,0.0531,0.23539396337046142,0.229912978,0.2163444,0.2163444
